Username*,Password,First Name*,Last Name*,GroupID*,Security Type*,Email Address*,Mobile Phone,User Role,User Message Type,Device GroupID,Device Friendly Name,Device Serial Number,Device Platform
user1,,giv01,sur01,bua,Directory,user1.a@valid.com,,,,,,,
user2,,giv02,sur02,bua,Directory,user2.a@valid.com,,,,,,,
user3,,giv03,sur03,bua,Directory,user3.a@valid.com,,,,,,,
user4,,giv04,sur04,bua,Directory,user4.a@valid.com,,,,,,,
user5,,giv05,sur05,bua,Directory,user5.a@valid.com,,,,,,,
user6,,giv06,sur06,bua,Directory,user6.a@valid.com,,,,,,,
user7,,giv07,sur07,bua,Directory,user7.a@valid.com,,,,,,,
user8,,giv08,sur08,bua,Directory,user8.a@valid.com,,,,,,,
user9,,giv09,sur09,bua,Directory,user9.a@valid.com,,,,,,,
user10,,giv10,sur10,bua,Directory,user10.a@valid.com,,,,,,,
user11,,giv11,sur11,bua,Directory,user11.a@valid.com,,,,,,,
user12,,giv12,sur12,bua,Directory,user12.a@valid.com,,,,,,,
user13,,giv13,sur13,bua,Directory,user13.a@valid.com,,,,,,,
user14,,giv14,sur14,bua,Directory,user14.a@valid.com,,,,,,,
user15,,giv15,sur15,bua,Directory,user15.a@valid.com,,,,,,,
user16,,giv16,sur16,bua,Directory,user16.a@valid.com,,,,,,,
user17,,giv17,sur17,bua,Directory,user17.a@valid.com,,,,,,,
user18,,giv18,sur18,bua,Directory,user18.a@valid.com,,,,,,,
user19,,giv19,sur19,bua,Directory,user19.a@valid.com,,,,,,,
user20,,giv20,sur20,bua,Directory,user20.a@valid.com,,,,,,,
